Character,Chinese Subtitle,English Translation
Two Head Rat,我王奉鼠，三王子便心生不满，远走他乡,"The King honored rats, that's why the Third Prince left."
Two Head Rat,曾有国人游历四方，说在西天佛国见过他,"Some claim to have seen him far away, somewhere in Buddhas' realm in the West."
Two Head Rat,可那西天佛国又在何处呢,"We must find it then, but where and how?"
King of Flowing Sands,儿啊，你说的这些个苦处,"Son, I hear you loud and clear."
King of Flowing Sands,做爹的怎会不知,How can I not know your sufferings?
King of Flowing Sands,可大王一日不出谷底,"But before our Master returns from the valley,"
King of Flowing Sands,你我就得再熬一日,we've got to tough it out.
King of Flowing Sands,熬住了才有活命,Tough it out to survive.
King of Flowing Sands,前些天，小子们又去探了道场,The lads went out to see the altar the other day.
King of Flowing Sands,气味比往前更臭，那满地的骨头渣子,"Said it's stinkin' worse than ever, and covered in bones,"
King of Flowing Sands,不像人，不像牛羊，却跟咱们一般大小,"not from men, or livestock, but littered in the remains of our kin!"
King of Flowing Sands,这天杀的毛团，日后大王知道了定饶不了它！,"Curse that furry jackass! Oh, just wait... Wait until master hears about this!"
King of Flowing Sands,小声小声，你这瓜皮！,"Hush, hush, you fool!"
King of Flowing Sands,复兴大事，还得从长计议,Our restoration... we can't say it out loud now!
King of Flowing Sands,只是可怜你那兄弟……,If your poor brother hadn't...
King of Flowing Sands,什么味道？,What's that smell?
King of Flowing Sands,居然是只两脚羊,"Aye, that's fresh meat..."
King of Flowing Sands,这鬼地方也有鲜肉送上门？,delivering itself all the way to this dump for our lunch!
King of Flowing Sands,贼猴子，难道你不知我国有敬鼠令么！,Wicked monkey! Have you not heard of the Reverence Edict here for mice?
King of Flowing Sands,想当初我们跟着大王何等辉煌,"How mighty we were, standing with Master."
King of Flowing Sands,可怜现在连只贼猴子都拿不下,"But now, we can't even best this vile monkey."
King of Flowing Sands,大王啊，不要闭关了！,"O my Master, quit your meditation, I pray!"
King of Flowing Sands,即帮我等降服巨虫，再帮我等降了这贼猴子罢！,"You helped us subdue that beetle. Now, aid us in crushing this filthy monkey!"
King of Flowing Sands,刁民！刁民！,Rabbles! Rabbles!
King of Flowing Sands,刁民造反啦！,Rabbles defying their king!
King of Flowing Sands,砸死你这刁民！,"I'll stone you to death, lowly rabble!"
Man-in-stone,不知道哪个妖孽用法力把我困在石头里了,Some bastard has got me trapped in this rock with his spell!
Man-in-stone,连带这岭上的石头也成了精,Even the rocks on the ridge have come to life!
Man-in-stone,那边的山洞里有只石精怪得很，它身上一定有些秘密,"In that cave, there's a rock guai lurkin', holdin' secrets, I bet!"
Man-in-stone,弄清了原委，我好脱身,"Should ye uncover the reason, I shall find me way out!"
Man-in-stone,石头成了精，此事非同小可,Rocks turnin'into guais... 'Tis no small matter...
Man-in-stone,你这娃子真好骗，我可算是弄到这宝贝哩!,Ye are surely a gullible one! I've finally got me hands on the treasure!
Man-in-stone,你咋还没走？,"Why are ye still here, eh?"
Man-in-stone,你不会是想要回这宝贝罢？不害臊！,"Ye ain't expectin' this back, are ye? Shameful!"
Man-in-stone,快走，本事不大，心倒挺贪,Begone! Ye greedy inept wretch!
Man-in-stone,滚开，不害臊！,"Get lost, ye disgrace!"
Man-in-stone,你狗日的真不识俊，偏要跟我试试身手!,"Why bother, ye daft one? Ye haven't got a chance against me!"
Man-in-stone,头都要被你震碎了！,Ye'll crack me skull!
Man-in-stone,饶命，饶命！,Mercy! Mercy!
Man-in-stone,不会还想要宝贝罢？,"Ye ain't expectin' another treasure, are ye?"
Man-in-stone,赖皮，不知羞！,Ye wicked twerp!
Man-in-stone,这样，我也不能白给,But I can't be handin' it over to ye for free!
Man-in-stone,你过会儿再来，拿灵蕴来换,Come back later to trade with Will.
Man-in-stone,甭急，也得让我准备一下罢？,Easy there. I'll need a bit o' time to get restocked.
Tiger Vanguard,妈了个巴子，咋又这么迟 ？,Bloody hell! What's the holdup this time?
Tiger Vanguard,东西放下，赶紧回去下崽 ,Chuck yer offerings and go breed more rats!
Tiger Vanguard,下回再送迟了，耽搁了大王练功的进度,"If ye dare to muck up the king's practice again,"
Tiger Vanguard,老子亲自把你的傻儿子洗干净，送进去！,I'll serve yer dimwit son up for supper meself!
Tiger Vanguard,那老瓜怂没来？,Ain't ye that old loser?
Tiger Vanguard,你这拐子脸的小和尚，哪冒出来的？,"Where'd ye come from, ye fur-faced mug?"
Tiger Vanguard,管他娘的，老子先尝两口！,Who cares anyway! I'll gobble ye up first!
Tiger’s Acolyte,拿了你，换我儿,"Your life, for my son."
Tiger’s Acolyte,自食恶果……,This... is my karma...
Tiger’s Acolyte,悔不……当初……,I... I shouldn't have...
Tiger’s Acolyte,一生习武，竟不能……,"With all my skills, I failed..."
Son of Tiger’s Acolyte,小猴子，我在这里,"I'm here, little monkey."
Son of Tiger’s Acolyte,拨浪鼓，摇一摇,Let me hear my rattle-drum.
Son of Tiger’s Acolyte,你见过爹爹了？爹爹哪里去了？,Where is my pa? Did you see him?
Son of Tiger’s Acolyte,爹爹说，风沙散了，病就能好,"Pa told me, when the dust stops, my cough ends."
Son of Tiger’s Acolyte,一看你就是外乡人,I know you're not from around here.
Son of Tiger’s Acolyte,别皱着眉头，这里可好玩了,Don't frown like that. Our village is fun!
Son of Tiger’s Acolyte,有躲在石头里的老爷爷，有在村子里偷酒喝的猪,I know an old man in the stone and a piggy who steals all the drinks.
Son of Tiger’s Acolyte,还有在井底的……,And at the bottom of that well...
Son of Tiger’s Acolyte,啊！不告诉你！,Ah! That's a secret!
Son of Tiger’s Acolyte,好可怕，大家围着我,I was scared. They were all around me.
Son of Tiger’s Acolyte,他们都说，是爹爹把村子里的人带去给妖怪吃了,"They told me, Pa took people from the village and fed them to a guai."
Son of Tiger’s Acolyte,骗我！我才不信！,That's a lie! That's not my pal!
Son of Tiger’s Acolyte,诶？好厉害，你怎么知道我在这里？,Hmm? How did you even know I was here?
Son of Tiger’s Acolyte,这个地方只有我和爹爹知道,Just Pa and I know of this place.
Son of Tiger’s Acolyte,偷偷告诉你，有个帮我治病的好朋友，就住在下面,"Don't tell anyone, but I have a friend in this well. He helped me with my coughing fit."
Son of Tiger’s Acolyte,好久没来，也不知他自个的伤，养好了没有.....,It's been so long. I hope his wounds have healed too...
Son of Tiger’s Acolyte,你也一起下来玩呀！,Come down and play with us!
Mad Tiger,狗心贱种，还敢顶虎先锋名号接着做那黄风怪的手下,Rotten mutt. And he dares bear our father's title under that Yellow Wind guai.
Mad Tiger,兄弟又如何，老子早晚要报这个仇,"Brother or not, I will have my vengeance!"
Mad Tiger,嗯？,Mm-mm?
Mad Tiger,那小孩的爹逃了，正愁没人送吃的来!,"The kid's dad ran off, but now you've shown up to be eaten!"
Mad Tiger,打不过，也不能……跪下,Never kneel... even in the end.
Yellow-Robed Squire,把酒仰问天，古今谁不死……,"""Raise thy cup, seek answers on high. Who defies death, 'neath every sky? """
Yellow-Robed Squire,不妙，误了正事……,"Ugh, I messed up my mission..."
Yellow-Robed Squire,去给咱找解酒的来……,Go find something to sober me up...
Yellow-Robed Squire,定风庄的酒，再来两坛,"Two more jars from Windrest, make it quick!"
Yellow-Robed Squire,神清气爽！,How refreshing!
Yellow-Robed Squire,是你把咱叫醒的？多谢,You woke me up? Thanks!
Yellow-Robed Squire,不过咱现在肚子空空，恕不奉陪,Enough with the chit-chat. My belly's growling.
Yellow-Robed Squire,咱现在得填饱肚子,I must quench this rumbling in my belly first.
Yellow-Robed Squire,都道卧虎寺内有肉吃，那可得去瞧瞧,"The Temple of Crouching Tiger, they say there's meat there. Worth a look!"
Yellow-Robed Squire,吃饱唱足才好做事，肚肠空空可是没戏,"The feast first, then the toil. Hunger brings no spoils!"
Yellow-Robed Squire,你这瘦鬼身子，也该多吃点，走走走，跟咱去卧虎寺,"You should eat more, skinny. Off we go! To the Temple of Crouching Tiger."
Yellow-Robed Squire,这些烂鼠肉食之若啮檗吞针,This putrid rat meat is insufferable.
Yellow-Robed Squire,气煞咱,It drives me mad!
Yellow-Robed Squire,你想法子给咱找点好东西尝尝如何？,"Help me score a tasty treat, will you?"
Yellow-Robed Squire,老夫馋那碧藕馋得紧，在此干早之地，可能寻到？,I've been craving a taste of that juicy Jade Lotus. Can you find me some in this barren land?
Yellow-Robed Squire,偶尔吃吃素，也未尝不可,I wouldn't mind some meatless meals from time to time.
Yellow-Robed Squire,事情有了些眉目,I have stumbled upon some interesting leads.
Yellow-Robed Squire,那黄金之国，真与这不毛之地有关,The Realm of Gold does hold a connection to this desolate land.
Yellow-Robed Squire,传说中黄金之国是太阳西沉落海之地，那里的人们以鼠为尊,"I hear the Realm of Gold is where the sun sets. There, they held rats above all others."
Yellow-Robed Squire,只是不知怎的，后来这个国家就消失了，很是奇怪,"And somehow, before we knew it, the realm was gone. Quite odd, that is."
Yellow-Robed Squire,造才咱尝了尝那些鼠精鼠怪，咂摸着像是还带点人味儿,I just tried those rat guais. They taste like men flesh.
Yellow-Robed Squire,那古国遗民并未尽亡，黄风怪与古国的神秘消殒恐怕脱不了干系……,Its people are not yet extinct. I suspect the Yellow Wind Guai had a role in their downfall.
Yellow-Robed Squire,来之前，大哥给我一枚金片，说是到时自有用处,"Our senior brother gave me a piece of gold. I'll need it here when the time's right, he said."
Yellow-Robed Squire,时候到了，咱这就回老地方试上一试,It's the right time now. I'm taking it to the right place to give it a try.
Yellow-Robed Squire,大哥给的金片，为何在你那里？,Where did you acquire my brother's gold piece?
Yellow-Robed Squire,拿来！,Give it here!
Yellow-Robed Squire,好身手！痛快！,What an excellent fight! The intensity!
Yellow-Robed Squire,如此甚好，与咱同赴古国如何！,This is good. You and I should explore that realm together!
Yellow-Robed Squire,今人不见古时月，今月曾经照古人,"Men in our time do not see the ancient moon, but this moon hath shone on men of yore."
Yellow-Robed Squire,你看，黄金之国也好，落日之国也罢，都已不复存在,"Behold! Be it the realm of sunset or the realm of gold, it's but an echo of the past."
Yellow-Robed Squire,传说这里的茫茫沙海之中，曾蛰伏着一只上古巨虫,Legends speak of an ancient colossal beetle in these sands.
Yellow-Robed Squire,这巨虫平日里沉睡地底，无踪可寻,"Whilst deep in slumber, it lay hidden beneath the earth's embrace."
Yellow-Robed Squire,一旦醒了便会钻出来吞噬人畜,"When awakened, it would devour all souls that crossed its path."
Yellow-Robed Squire,偏偏它外壳坚若磐石，寻常刀斧弓弩难以穿透,"Its shell, harder than stone, defied the strikes of common arms."
Yellow-Robed Squire,往来商旅不敢靠近，周边小国更是苦不堪言,"It struck fear into travelling merchants and wider, to neighboring realms."
Yellow-Robed Squire,适逢一只黄毛貂鼠下界途经此地，感应到那巨虫身上似有无上佛力,But a yellow-furred rat sensed the immense power emanating from the insect.
Yellow-Robed Squire,于是施法镇住巨虫，收为己用,He halted the beetle's havoc and harnessed it for his own ends.
